YEAR,NEIGHBORHOOD_CLUSTER,OFFENSE,SHIFT,NUMBER_OF_CRIMES
2008,Cluster 15,ASSAULT W/DANGEROUS WEAPON,EVENING,4
2008,Cluster 15,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,2
2008,Cluster 15,BURGLARY,EVENING,25
2008,Cluster 15,BURGLARY,DAY,20
2008,Cluster 15,BURGLARY,MIDNIGHT,10
2008,Cluster 15,MOTOR VEHICLE THEFT,DAY,12
2008,Cluster 15,MOTOR VEHICLE THEFT,EVENING,10
2008,Cluster 15,MOTOR VEHICLE THEFT,MIDNIGHT,8
2008,Cluster 15,ROBBERY,EVENING,11
2008,Cluster 15,ROBBERY,MIDNIGHT,6
2008,Cluster 15,ROBBERY,DAY,2
2008,Cluster 15,SEX ABUSE,MIDNIGHT,2
2008,Cluster 15,THEFT/OTHER,DAY,135
2008,Cluster 15,THEFT/OTHER,EVENING,126
2008,Cluster 15,THEFT/OTHER,MIDNIGHT,24
2008,Cluster 16,ARSON,DAY,1
2008,Cluster 16,ASSAULT W/DANGEROUS WEAPON,DAY,2
2008,Cluster 16,ASSAULT W/DANGEROUS WEAPON,EVENING,1
2008,Cluster 16,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,1
2008,Cluster 16,BURGLARY,DAY,19
2008,Cluster 16,BURGLARY,MIDNIGHT,7
2008,Cluster 16,BURGLARY,EVENING,5
2008,Cluster 16,MOTOR VEHICLE THEFT,DAY,12
2008,Cluster 16,MOTOR VEHICLE THEFT,EVENING,8
2008,Cluster 16,MOTOR VEHICLE THEFT,MIDNIGHT,7
2008,Cluster 16,ROBBERY,EVENING,16
2008,Cluster 16,ROBBERY,DAY,6
2008,Cluster 16,ROBBERY,MIDNIGHT,5
2008,Cluster 16,THEFT/OTHER,DAY,53
2008,Cluster 16,THEFT/OTHER,EVENING,32
2008,Cluster 16,THEFT/OTHER,MIDNIGHT,14
2008,Cluster 17,ASSAULT W/DANGEROUS WEAPON,EVENING,29
2008,Cluster 17,ASSAULT W/DANGEROUS WEAPON,DAY,15
2008,Cluster 17,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,12
2008,Cluster 17,BURGLARY,DAY,44
2008,Cluster 17,BURGLARY,EVENING,28
2008,Cluster 17,BURGLARY,MIDNIGHT,14
2008,Cluster 17,HOMICIDE,MIDNIGHT,3
2008,Cluster 17,MOTOR VEHICLE THEFT,DAY,60
2008,Cluster 17,MOTOR VEHICLE THEFT,EVENING,44
2008,Cluster 17,MOTOR VEHICLE THEFT,MIDNIGHT,23
2008,Cluster 17,ROBBERY,EVENING,59
2008,Cluster 17,ROBBERY,MIDNIGHT,44
2008,Cluster 17,ROBBERY,DAY,28
2008,Cluster 17,SEX ABUSE,DAY,2
2008,Cluster 17,THEFT/OTHER,DAY,240
2008,Cluster 17,THEFT/OTHER,EVENING,159
2008,Cluster 17,THEFT/OTHER,MIDNIGHT,64
2008,Cluster 18,ARSON,DAY,1
2008,Cluster 18,ARSON,MIDNIGHT,1
2008,Cluster 18,ASSAULT W/DANGEROUS WEAPON,EVENING,90
2008,Cluster 18,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,88
2008,Cluster 18,ASSAULT W/DANGEROUS WEAPON,DAY,39
2008,Cluster 18,BURGLARY,DAY,117
2008,Cluster 18,BURGLARY,EVENING,81
2008,Cluster 18,BURGLARY,MIDNIGHT,38
2008,Cluster 18,HOMICIDE,MIDNIGHT,9
2008,Cluster 18,MOTOR VEHICLE THEFT,DAY,124
2008,Cluster 18,MOTOR VEHICLE THEFT,EVENING,68
2008,Cluster 18,MOTOR VEHICLE THEFT,MIDNIGHT,46
2008,Cluster 18,ROBBERY,EVENING,101
2008,Cluster 18,ROBBERY,MIDNIGHT,95
2008,Cluster 18,ROBBERY,DAY,55
2008,Cluster 18,SEX ABUSE,EVENING,5
2008,Cluster 18,SEX ABUSE,MIDNIGHT,5
2008,Cluster 18,SEX ABUSE,DAY,1
2008,Cluster 18,THEFT/OTHER,DAY,350
2008,Cluster 18,THEFT/OTHER,EVENING,227
2008,Cluster 18,THEFT/OTHER,MIDNIGHT,81
2008,Cluster 19,ARSON,EVENING,2
2008,Cluster 19,ASSAULT W/DANGEROUS WEAPON,EVENING,25
2008,Cluster 19,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,19
2008,Cluster 19,ASSAULT W/DANGEROUS WEAPON,DAY,9
2008,Cluster 19,BURGLARY,DAY,19
2008,Cluster 19,BURGLARY,EVENING,11
2008,Cluster 19,BURGLARY,MIDNIGHT,9
2008,Cluster 19,HOMICIDE,MIDNIGHT,3
2008,Cluster 19,MOTOR VEHICLE THEFT,DAY,62
2008,Cluster 19,MOTOR VEHICLE THEFT,EVENING,43
2008,Cluster 19,MOTOR VEHICLE THEFT,MIDNIGHT,28
2008,Cluster 19,ROBBERY,EVENING,28
2008,Cluster 19,ROBBERY,MIDNIGHT,16
2008,Cluster 19,ROBBERY,DAY,10
2008,Cluster 19,SEX ABUSE,DAY,1
2008,Cluster 19,THEFT/OTHER,DAY,65
2008,Cluster 19,THEFT/OTHER,EVENING,58
2008,Cluster 19,THEFT/OTHER,MIDNIGHT,15
2008,Cluster 2,ARSON,EVENING,2
2008,Cluster 2,ARSON,MIDNIGHT,2
2008,Cluster 2,ARSON,DAY,1
2008,Cluster 2,ASSAULT W/DANGEROUS WEAPON,EVENING,111
2008,Cluster 2,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,81
2008,Cluster 2,ASSAULT W/DANGEROUS WEAPON,DAY,30
2008,Cluster 2,BURGLARY,EVENING,133
2008,Cluster 2,BURGLARY,DAY,94
2008,Cluster 2,BURGLARY,MIDNIGHT,47
2008,Cluster 2,HOMICIDE,MIDNIGHT,12
2008,Cluster 2,MOTOR VEHICLE THEFT,DAY,141
2008,Cluster 2,MOTOR VEHICLE THEFT,EVENING,138
2008,Cluster 2,MOTOR VEHICLE THEFT,MIDNIGHT,47
2008,Cluster 2,ROBBERY,EVENING,199
2008,Cluster 2,ROBBERY,MIDNIGHT,190
2008,Cluster 2,ROBBERY,DAY,85
2008,Cluster 2,SEX ABUSE,MIDNIGHT,6
2008,Cluster 2,SEX ABUSE,EVENING,4
2008,Cluster 2,SEX ABUSE,DAY,1
2008,Cluster 2,THEFT/OTHER,DAY,660
2008,Cluster 2,THEFT/OTHER,EVENING,526
2008,Cluster 2,THEFT/OTHER,MIDNIGHT,169
2008,Cluster 20,ASSAULT W/DANGEROUS WEAPON,EVENING,8
2008,Cluster 20,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,8
2008,Cluster 20,ASSAULT W/DANGEROUS WEAPON,DAY,6
2008,Cluster 20,BURGLARY,DAY,21
2008,Cluster 20,BURGLARY,EVENING,19
2008,Cluster 20,BURGLARY,MIDNIGHT,6
2008,Cluster 20,HOMICIDE,MIDNIGHT,3
2008,Cluster 20,MOTOR VEHICLE THEFT,DAY,36
2008,Cluster 20,MOTOR VEHICLE THEFT,EVENING,29
2008,Cluster 20,MOTOR VEHICLE THEFT,MIDNIGHT,20
2008,Cluster 20,ROBBERY,EVENING,23
2008,Cluster 20,ROBBERY,MIDNIGHT,19
2008,Cluster 20,ROBBERY,DAY,8
2008,Cluster 20,SEX ABUSE,EVENING,1
2008,Cluster 20,THEFT/OTHER,DAY,83
2008,Cluster 20,THEFT/OTHER,EVENING,73
2008,Cluster 20,THEFT/OTHER,MIDNIGHT,17
2008,Cluster 21,ARSON,MIDNIGHT,2
2008,Cluster 21,ARSON,EVENING,1
2008,Cluster 21,ASSAULT W/DANGEROUS WEAPON,EVENING,44
2008,Cluster 21,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,42
2008,Cluster 21,ASSAULT W/DANGEROUS WEAPON,DAY,20
2008,Cluster 21,BURGLARY,EVENING,69
2008,Cluster 21,BURGLARY,DAY,55
2008,Cluster 21,BURGLARY,MIDNIGHT,24
2008,Cluster 21,HOMICIDE,MIDNIGHT,12
2008,Cluster 21,MOTOR VEHICLE THEFT,DAY,95
2008,Cluster 21,MOTOR VEHICLE THEFT,EVENING,91
2008,Cluster 21,MOTOR VEHICLE THEFT,MIDNIGHT,36
2008,Cluster 21,ROBBERY,EVENING,78
2008,Cluster 21,ROBBERY,MIDNIGHT,58
2008,Cluster 21,ROBBERY,DAY,34
2008,Cluster 21,SEX ABUSE,MIDNIGHT,3
2008,Cluster 21,SEX ABUSE,DAY,1
2008,Cluster 21,THEFT/OTHER,DAY,225
2008,Cluster 21,THEFT/OTHER,EVENING,218
2008,Cluster 21,THEFT/OTHER,MIDNIGHT,63
2008,Cluster 22,ARSON,DAY,2
2008,Cluster 22,ARSON,EVENING,1
2008,Cluster 22,ASSAULT W/DANGEROUS WEAPON,EVENING,36
2008,Cluster 22,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,26
2008,Cluster 22,ASSAULT W/DANGEROUS WEAPON,DAY,15
2008,Cluster 22,BURGLARY,EVENING,47
2008,Cluster 22,BURGLARY,DAY,45
2008,Cluster 22,BURGLARY,MIDNIGHT,16
2008,Cluster 22,HOMICIDE,MIDNIGHT,8
2008,Cluster 22,MOTOR VEHICLE THEFT,DAY,77
2008,Cluster 22,MOTOR VEHICLE THEFT,EVENING,61
2008,Cluster 22,MOTOR VEHICLE THEFT,MIDNIGHT,30
2008,Cluster 22,ROBBERY,EVENING,64
2008,Cluster 22,ROBBERY,MIDNIGHT,40
2008,Cluster 22,ROBBERY,DAY,25
2008,Cluster 22,SEX ABUSE,MIDNIGHT,3
2008,Cluster 22,THEFT/OTHER,EVENING,191
2008,Cluster 22,THEFT/OTHER,DAY,169
2008,Cluster 22,THEFT/OTHER,MIDNIGHT,37
2008,Cluster 23,ARSON,EVENING,1
2008,Cluster 23,ARSON,MIDNIGHT,1
2008,Cluster 23,ASSAULT W/DANGEROUS WEAPON,EVENING,80
2008,Cluster 23,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,64
2008,Cluster 23,ASSAULT W/DANGEROUS WEAPON,DAY,38
2008,Cluster 23,BURGLARY,EVENING,74
2008,Cluster 23,BURGLARY,DAY,51
2008,Cluster 23,BURGLARY,MIDNIGHT,26
2008,Cluster 23,HOMICIDE,MIDNIGHT,12
2008,Cluster 23,MOTOR VEHICLE THEFT,EVENING,92
2008,Cluster 23,MOTOR VEHICLE THEFT,DAY,68
2008,Cluster 23,MOTOR VEHICLE THEFT,MIDNIGHT,48
2008,Cluster 23,ROBBERY,EVENING,59
2008,Cluster 23,ROBBERY,MIDNIGHT,51
2008,Cluster 23,ROBBERY,DAY,33
2008,Cluster 23,SEX ABUSE,MIDNIGHT,6
2008,Cluster 23,SEX ABUSE,EVENING,2
2008,Cluster 23,SEX ABUSE,DAY,1
2008,Cluster 23,THEFT/OTHER,EVENING,177
2008,Cluster 23,THEFT/OTHER,MIDNIGHT,169
2008,Cluster 23,THEFT/OTHER,DAY,148
