YEAR,NEIGHBORHOOD_CLUSTER,OFFENSE,SHIFT,NUMBER_OF_CRIMES
2009,Cluster 8,ARSON,EVENING,1
2009,Cluster 8,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,36
2009,Cluster 8,ASSAULT W/DANGEROUS WEAPON,EVENING,22
2009,Cluster 8,ASSAULT W/DANGEROUS WEAPON,DAY,19
2009,Cluster 8,BURGLARY,DAY,39
2009,Cluster 8,BURGLARY,EVENING,17
2009,Cluster 8,BURGLARY,MIDNIGHT,16
2009,Cluster 8,HOMICIDE,MIDNIGHT,1
2009,Cluster 8,MOTOR VEHICLE THEFT,DAY,50
2009,Cluster 8,MOTOR VEHICLE THEFT,EVENING,43
2009,Cluster 8,MOTOR VEHICLE THEFT,MIDNIGHT,27
2009,Cluster 8,ROBBERY,EVENING,81
2009,Cluster 8,ROBBERY,MIDNIGHT,50
2009,Cluster 8,ROBBERY,DAY,35
2009,Cluster 8,SEX ABUSE,DAY,2
2009,Cluster 8,SEX ABUSE,MIDNIGHT,2
2009,Cluster 8,SEX ABUSE,EVENING,1
2009,Cluster 8,THEFT F/AUTO,EVENING,108
2009,Cluster 8,THEFT F/AUTO,DAY,82
2009,Cluster 8,THEFT F/AUTO,MIDNIGHT,41
2009,Cluster 8,THEFT/OTHER,EVENING,635
2009,Cluster 8,THEFT/OTHER,DAY,458
2009,Cluster 8,THEFT/OTHER,MIDNIGHT,144
2009,Cluster 9,ASSAULT W/DANGEROUS WEAPON,EVENING,20
2009,Cluster 9,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,14
2009,Cluster 9,ASSAULT W/DANGEROUS WEAPON,DAY,12
2009,Cluster 9,BURGLARY,DAY,28
2009,Cluster 9,BURGLARY,EVENING,13
2009,Cluster 9,BURGLARY,MIDNIGHT,7
2009,Cluster 9,HOMICIDE,MIDNIGHT,2
2009,Cluster 9,MOTOR VEHICLE THEFT,DAY,24
2009,Cluster 9,MOTOR VEHICLE THEFT,EVENING,18
2009,Cluster 9,MOTOR VEHICLE THEFT,MIDNIGHT,12
2009,Cluster 9,ROBBERY,MIDNIGHT,20
2009,Cluster 9,ROBBERY,EVENING,12
2009,Cluster 9,ROBBERY,DAY,8
2009,Cluster 9,SEX ABUSE,MIDNIGHT,1
2009,Cluster 9,THEFT F/AUTO,EVENING,37
2009,Cluster 9,THEFT F/AUTO,DAY,20
2009,Cluster 9,THEFT F/AUTO,MIDNIGHT,8
2009,Cluster 9,THEFT/OTHER,EVENING,79
2009,Cluster 9,THEFT/OTHER,DAY,78
2009,Cluster 9,THEFT/OTHER,MIDNIGHT,19
2010,Cluster 1,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,16
2010,Cluster 1,ASSAULT W/DANGEROUS WEAPON,EVENING,13
2010,Cluster 1,ASSAULT W/DANGEROUS WEAPON,DAY,3
2010,Cluster 1,BURGLARY,EVENING,24
2010,Cluster 1,BURGLARY,DAY,20
2010,Cluster 1,BURGLARY,MIDNIGHT,17
2010,Cluster 1,HOMICIDE,MIDNIGHT,2
2010,Cluster 1,MOTOR VEHICLE THEFT,EVENING,35
2010,Cluster 1,MOTOR VEHICLE THEFT,DAY,32
2010,Cluster 1,MOTOR VEHICLE THEFT,MIDNIGHT,15
2010,Cluster 1,ROBBERY,MIDNIGHT,63
2010,Cluster 1,ROBBERY,EVENING,28
2010,Cluster 1,ROBBERY,DAY,11
2010,Cluster 1,SEX ABUSE,DAY,4
2010,Cluster 1,SEX ABUSE,EVENING,2
2010,Cluster 1,THEFT F/AUTO,DAY,173
2010,Cluster 1,THEFT F/AUTO,EVENING,100
2010,Cluster 1,THEFT F/AUTO,MIDNIGHT,40
2010,Cluster 1,THEFT/OTHER,EVENING,129
2010,Cluster 1,THEFT/OTHER,DAY,104
2010,Cluster 1,THEFT/OTHER,MIDNIGHT,35
2010,Cluster 10,ASSAULT W/DANGEROUS WEAPON,EVENING,5
2010,Cluster 10,ASSAULT W/DANGEROUS WEAPON,DAY,2
2010,Cluster 10,BURGLARY,DAY,25
2010,Cluster 10,BURGLARY,EVENING,24
2010,Cluster 10,BURGLARY,MIDNIGHT,10
2010,Cluster 10,MOTOR VEHICLE THEFT,DAY,10
2010,Cluster 10,MOTOR VEHICLE THEFT,EVENING,5
2010,Cluster 10,MOTOR VEHICLE THEFT,MIDNIGHT,1
2010,Cluster 10,ROBBERY,EVENING,3
2010,Cluster 10,ROBBERY,MIDNIGHT,3
2010,Cluster 10,ROBBERY,DAY,1
2010,Cluster 10,THEFT F/AUTO,DAY,45
2010,Cluster 10,THEFT F/AUTO,EVENING,44
2010,Cluster 10,THEFT F/AUTO,MIDNIGHT,3
2010,Cluster 10,THEFT/OTHER,EVENING,46
2010,Cluster 10,THEFT/OTHER,DAY,38
2010,Cluster 10,THEFT/OTHER,MIDNIGHT,3
2010,Cluster 11,ASSAULT W/DANGEROUS WEAPON,DAY,2
2010,Cluster 11,ASSAULT W/DANGEROUS WEAPON,EVENING,1
2010,Cluster 11,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,1
2010,Cluster 11,BURGLARY,DAY,35
2010,Cluster 11,BURGLARY,EVENING,32
2010,Cluster 11,BURGLARY,MIDNIGHT,10
2010,Cluster 11,MOTOR VEHICLE THEFT,DAY,11
2010,Cluster 11,MOTOR VEHICLE THEFT,EVENING,8
2010,Cluster 11,ROBBERY,EVENING,19
2010,Cluster 11,ROBBERY,DAY,15
2010,Cluster 11,ROBBERY,MIDNIGHT,8
2010,Cluster 11,SEX ABUSE,MIDNIGHT,2
2010,Cluster 11,THEFT F/AUTO,EVENING,57
2010,Cluster 11,THEFT F/AUTO,DAY,51
2010,Cluster 11,THEFT F/AUTO,MIDNIGHT,11
2010,Cluster 11,THEFT/OTHER,EVENING,177
2010,Cluster 11,THEFT/OTHER,DAY,98
2010,Cluster 11,THEFT/OTHER,MIDNIGHT,15
2010,Cluster 12,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,2
2010,Cluster 12,ASSAULT W/DANGEROUS WEAPON,EVENING,1
2010,Cluster 12,BURGLARY,DAY,22
2010,Cluster 12,BURGLARY,EVENING,15
2010,Cluster 12,BURGLARY,MIDNIGHT,8
2010,Cluster 12,MOTOR VEHICLE THEFT,EVENING,3
2010,Cluster 12,MOTOR VEHICLE THEFT,DAY,2
2010,Cluster 12,MOTOR VEHICLE THEFT,MIDNIGHT,1
2010,Cluster 12,ROBBERY,EVENING,5
2010,Cluster 12,ROBBERY,MIDNIGHT,2
2010,Cluster 12,ROBBERY,DAY,1
2010,Cluster 12,THEFT F/AUTO,DAY,31
2010,Cluster 12,THEFT F/AUTO,EVENING,24
2010,Cluster 12,THEFT F/AUTO,MIDNIGHT,4
2010,Cluster 12,THEFT/OTHER,EVENING,55
2010,Cluster 12,THEFT/OTHER,DAY,40
2010,Cluster 12,THEFT/OTHER,MIDNIGHT,7
2010,Cluster 13,BURGLARY,DAY,18
2010,Cluster 13,BURGLARY,MIDNIGHT,15
2010,Cluster 13,BURGLARY,EVENING,13
2010,Cluster 13,MOTOR VEHICLE THEFT,DAY,19
2010,Cluster 13,MOTOR VEHICLE THEFT,EVENING,3
2010,Cluster 13,MOTOR VEHICLE THEFT,MIDNIGHT,1
2010,Cluster 13,ROBBERY,MIDNIGHT,3
2010,Cluster 13,ROBBERY,EVENING,2
2010,Cluster 13,SEX ABUSE,DAY,2
2010,Cluster 13,THEFT F/AUTO,DAY,101
2010,Cluster 13,THEFT F/AUTO,EVENING,25
2010,Cluster 13,THEFT F/AUTO,MIDNIGHT,5
2010,Cluster 13,THEFT/OTHER,EVENING,54
2010,Cluster 13,THEFT/OTHER,DAY,39
2010,Cluster 13,THEFT/OTHER,MIDNIGHT,4
2010,Cluster 14,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,2
2010,Cluster 14,ASSAULT W/DANGEROUS WEAPON,DAY,1
2010,Cluster 14,ASSAULT W/DANGEROUS WEAPON,EVENING,1
2010,Cluster 14,BURGLARY,DAY,26
2010,Cluster 14,BURGLARY,EVENING,23
2010,Cluster 14,BURGLARY,MIDNIGHT,4
2010,Cluster 14,HOMICIDE,MIDNIGHT,1
2010,Cluster 14,MOTOR VEHICLE THEFT,EVENING,16
2010,Cluster 14,MOTOR VEHICLE THEFT,DAY,14
2010,Cluster 14,MOTOR VEHICLE THEFT,MIDNIGHT,3
2010,Cluster 14,ROBBERY,DAY,4
2010,Cluster 14,ROBBERY,MIDNIGHT,3
2010,Cluster 14,ROBBERY,EVENING,1
2010,Cluster 14,SEX ABUSE,MIDNIGHT,1
2010,Cluster 14,THEFT F/AUTO,DAY,52
2010,Cluster 14,THEFT F/AUTO,EVENING,26
2010,Cluster 14,THEFT F/AUTO,MIDNIGHT,3
2010,Cluster 14,THEFT/OTHER,EVENING,84
2010,Cluster 14,THEFT/OTHER,DAY,72
2010,Cluster 14,THEFT/OTHER,MIDNIGHT,13
2010,Cluster 15,ASSAULT W/DANGEROUS WEAPON,DAY,2
2010,Cluster 15,ASSAULT W/DANGEROUS WEAPON,EVENING,1
2010,Cluster 15,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,1
2010,Cluster 15,BURGLARY,EVENING,18
2010,Cluster 15,BURGLARY,DAY,17
2010,Cluster 15,BURGLARY,MIDNIGHT,7
2010,Cluster 15,MOTOR VEHICLE THEFT,EVENING,8
2010,Cluster 15,MOTOR VEHICLE THEFT,DAY,7
2010,Cluster 15,MOTOR VEHICLE THEFT,MIDNIGHT,2
2010,Cluster 15,ROBBERY,MIDNIGHT,12
2010,Cluster 15,ROBBERY,EVENING,6
2010,Cluster 15,ROBBERY,DAY,5
2010,Cluster 15,SEX ABUSE,EVENING,1
2010,Cluster 15,SEX ABUSE,MIDNIGHT,1
2010,Cluster 15,THEFT F/AUTO,DAY,75
2010,Cluster 15,THEFT F/AUTO,EVENING,41
2010,Cluster 15,THEFT F/AUTO,MIDNIGHT,13
2010,Cluster 15,THEFT/OTHER,EVENING,77
2010,Cluster 15,THEFT/OTHER,DAY,49
2010,Cluster 15,THEFT/OTHER,MIDNIGHT,12
2010,Cluster 16,ASSAULT W/DANGEROUS WEAPON,EVENING,2
2010,Cluster 16,BURGLARY,EVENING,18
2010,Cluster 16,BURGLARY,DAY,6
2010,Cluster 16,BURGLARY,MIDNIGHT,6
2010,Cluster 16,MOTOR VEHICLE THEFT,DAY,11
2010,Cluster 16,MOTOR VEHICLE THEFT,MIDNIGHT,6
2010,Cluster 16,MOTOR VEHICLE THEFT,EVENING,3
2010,Cluster 16,ROBBERY,EVENING,11
2010,Cluster 16,ROBBERY,DAY,4
2010,Cluster 16,ROBBERY,MIDNIGHT,4
2010,Cluster 16,SEX ABUSE,DAY,1
2010,Cluster 16,THEFT F/AUTO,DAY,41
2010,Cluster 16,THEFT F/AUTO,EVENING,23
2010,Cluster 16,THEFT F/AUTO,MIDNIGHT,7
2010,Cluster 16,THEFT/OTHER,EVENING,20
2010,Cluster 16,THEFT/OTHER,DAY,18
2010,Cluster 16,THEFT/OTHER,MIDNIGHT,3
2010,Cluster 17,ASSAULT W/DANGEROUS WEAPON,EVENING,21
2010,Cluster 17,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,19
2010,Cluster 17,ASSAULT W/DANGEROUS WEAPON,DAY,11
2010,Cluster 17,BURGLARY,EVENING,48
2010,Cluster 17,BURGLARY,DAY,37
2010,Cluster 17,BURGLARY,MIDNIGHT,13
2010,Cluster 17,HOMICIDE,MIDNIGHT,3
2010,Cluster 17,MOTOR VEHICLE THEFT,DAY,57
2010,Cluster 17,MOTOR VEHICLE THEFT,EVENING,50
2010,Cluster 17,MOTOR VEHICLE THEFT,MIDNIGHT,22
2010,Cluster 17,ROBBERY,EVENING,38
2010,Cluster 17,ROBBERY,MIDNIGHT,30
2010,Cluster 17,ROBBERY,DAY,21
2010,Cluster 17,SEX ABUSE,DAY,2
2010,Cluster 17,SEX ABUSE,EVENING,2
2010,Cluster 17,THEFT F/AUTO,DAY,119
2010,Cluster 17,THEFT F/AUTO,EVENING,81
2010,Cluster 17,THEFT F/AUTO,MIDNIGHT,28
2010,Cluster 17,THEFT/OTHER,EVENING,127
2010,Cluster 17,THEFT/OTHER,DAY,66
2010,Cluster 17,THEFT/OTHER,MIDNIGHT,26
2010,Cluster 18,ARSON,EVENING,2
2010,Cluster 18,ARSON,MIDNIGHT,2
2010,Cluster 18,ARSON,DAY,1
2010,Cluster 18,ASSAULT W/DANGEROUS WEAPON,EVENING,76
2010,Cluster 18,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,73
2010,Cluster 18,ASSAULT W/DANGEROUS WEAPON,DAY,30
2010,Cluster 18,BURGLARY,EVENING,80
2010,Cluster 18,BURGLARY,DAY,67
2010,Cluster 18,BURGLARY,MIDNIGHT,32
2010,Cluster 18,HOMICIDE,MIDNIGHT,5
2010,Cluster 18,MOTOR VEHICLE THEFT,DAY,107
2010,Cluster 18,MOTOR VEHICLE THEFT,EVENING,75
2010,Cluster 18,MOTOR VEHICLE THEFT,MIDNIGHT,35
2010,Cluster 18,ROBBERY,EVENING,103
2010,Cluster 18,ROBBERY,MIDNIGHT,94
2010,Cluster 18,ROBBERY,DAY,64
2010,Cluster 18,SEX ABUSE,DAY,4
2010,Cluster 18,SEX ABUSE,EVENING,4
2010,Cluster 18,SEX ABUSE,MIDNIGHT,3
2010,Cluster 18,THEFT F/AUTO,DAY,229
2010,Cluster 18,THEFT F/AUTO,EVENING,190
2010,Cluster 18,THEFT F/AUTO,MIDNIGHT,61
2010,Cluster 18,THEFT/OTHER,EVENING,177
2010,Cluster 18,THEFT/OTHER,DAY,142
2010,Cluster 18,THEFT/OTHER,MIDNIGHT,39
2010,Cluster 19,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,14
2010,Cluster 19,ASSAULT W/DANGEROUS WEAPON,EVENING,12
2010,Cluster 19,ASSAULT W/DANGEROUS WEAPON,DAY,7
2010,Cluster 19,BURGLARY,EVENING,34
2010,Cluster 19,BURGLARY,DAY,20
2010,Cluster 19,BURGLARY,MIDNIGHT,12
2010,Cluster 19,HOMICIDE,MIDNIGHT,2
2010,Cluster 19,MOTOR VEHICLE THEFT,DAY,50
2010,Cluster 19,MOTOR VEHICLE THEFT,EVENING,30
2010,Cluster 19,MOTOR VEHICLE THEFT,MIDNIGHT,18
2010,Cluster 19,ROBBERY,EVENING,28
2010,Cluster 19,ROBBERY,MIDNIGHT,11
2010,Cluster 19,ROBBERY,DAY,9
2010,Cluster 19,SEX ABUSE,DAY,1
2010,Cluster 19,THEFT F/AUTO,DAY,76
2010,Cluster 19,THEFT F/AUTO,EVENING,51
2010,Cluster 19,THEFT F/AUTO,MIDNIGHT,15
2010,Cluster 19,THEFT/OTHER,EVENING,26
2010,Cluster 19,THEFT/OTHER,DAY,16
2010,Cluster 19,THEFT/OTHER,MIDNIGHT,9
2010,Cluster 2,ARSON,DAY,1
2010,Cluster 2,ARSON,MIDNIGHT,1
2010,Cluster 2,ASSAULT W/DANGEROUS WEAPON,EVENING,71
2010,Cluster 2,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,70
2010,Cluster 2,ASSAULT W/DANGEROUS WEAPON,DAY,37
2010,Cluster 2,BURGLARY,EVENING,85
2010,Cluster 2,BURGLARY,DAY,61
2010,Cluster 2,BURGLARY,MIDNIGHT,47
2010,Cluster 2,HOMICIDE,MIDNIGHT,8
2010,Cluster 2,MOTOR VEHICLE THEFT,EVENING,68
2010,Cluster 2,MOTOR VEHICLE THEFT,DAY,65
2010,Cluster 2,MOTOR VEHICLE THEFT,MIDNIGHT,27
2010,Cluster 2,ROBBERY,MIDNIGHT,143
2010,Cluster 2,ROBBERY,EVENING,129
2010,Cluster 2,ROBBERY,DAY,80
2010,Cluster 2,SEX ABUSE,DAY,5
2010,Cluster 2,SEX ABUSE,EVENING,4
2010,Cluster 2,SEX ABUSE,MIDNIGHT,2
2010,Cluster 2,THEFT F/AUTO,DAY,528
2010,Cluster 2,THEFT F/AUTO,EVENING,355
2010,Cluster 2,THEFT F/AUTO,MIDNIGHT,76
2010,Cluster 2,THEFT/OTHER,EVENING,369
2010,Cluster 2,THEFT/OTHER,DAY,252
2010,Cluster 2,THEFT/OTHER,MIDNIGHT,78
2010,Cluster 20,ASSAULT W/DANGEROUS WEAPON,EVENING,7
2010,Cluster 20,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,6
2010,Cluster 20,ASSAULT W/DANGEROUS WEAPON,DAY,5
2010,Cluster 20,BURGLARY,EVENING,29
2010,Cluster 20,BURGLARY,DAY,12
2010,Cluster 20,BURGLARY,MIDNIGHT,5
2010,Cluster 20,MOTOR VEHICLE THEFT,DAY,38
2010,Cluster 20,MOTOR VEHICLE THEFT,EVENING,13
2010,Cluster 20,MOTOR VEHICLE THEFT,MIDNIGHT,6
2010,Cluster 20,ROBBERY,MIDNIGHT,19
2010,Cluster 20,ROBBERY,EVENING,18
2010,Cluster 20,ROBBERY,DAY,7
2010,Cluster 20,SEX ABUSE,EVENING,1
2010,Cluster 20,THEFT F/AUTO,DAY,71
2010,Cluster 20,THEFT F/AUTO,EVENING,42
2010,Cluster 20,THEFT F/AUTO,MIDNIGHT,12
2010,Cluster 20,THEFT/OTHER,EVENING,45
2010,Cluster 20,THEFT/OTHER,DAY,40
2010,Cluster 20,THEFT/OTHER,MIDNIGHT,9
2010,Cluster 21,ARSON,MIDNIGHT,3
2010,Cluster 21,ARSON,DAY,1
2010,Cluster 21,ASSAULT W/DANGEROUS WEAPON,EVENING,38
2010,Cluster 21,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,32
2010,Cluster 21,ASSAULT W/DANGEROUS WEAPON,DAY,23
2010,Cluster 21,BURGLARY,EVENING,93
2010,Cluster 21,BURGLARY,DAY,66
2010,Cluster 21,BURGLARY,MIDNIGHT,29
2010,Cluster 21,HOMICIDE,MIDNIGHT,4
2010,Cluster 21,MOTOR VEHICLE THEFT,DAY,60
2010,Cluster 21,MOTOR VEHICLE THEFT,EVENING,48
2010,Cluster 21,MOTOR VEHICLE THEFT,MIDNIGHT,20
2010,Cluster 21,ROBBERY,MIDNIGHT,71
2010,Cluster 21,ROBBERY,EVENING,66
2010,Cluster 21,ROBBERY,DAY,41
2010,Cluster 21,SEX ABUSE,EVENING,4
2010,Cluster 21,SEX ABUSE,DAY,2
2010,Cluster 21,THEFT F/AUTO,DAY,131
2010,Cluster 21,THEFT F/AUTO,EVENING,95
2010,Cluster 21,THEFT F/AUTO,MIDNIGHT,27
2010,Cluster 21,THEFT/OTHER,EVENING,141
2010,Cluster 21,THEFT/OTHER,DAY,116
2010,Cluster 21,THEFT/OTHER,MIDNIGHT,22
2010,Cluster 22,ARSON,DAY,1
2010,Cluster 22,ARSON,EVENING,1
2010,Cluster 22,ARSON,MIDNIGHT,1
2010,Cluster 22,ASSAULT W/DANGEROUS WEAPON,EVENING,27
2010,Cluster 22,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,19
2010,Cluster 22,ASSAULT W/DANGEROUS WEAPON,DAY,11
2010,Cluster 22,BURGLARY,EVENING,55
2010,Cluster 22,BURGLARY,DAY,31
2010,Cluster 22,BURGLARY,MIDNIGHT,22
2010,Cluster 22,HOMICIDE,MIDNIGHT,4
2010,Cluster 22,MOTOR VEHICLE THEFT,DAY,62
2010,Cluster 22,MOTOR VEHICLE THEFT,EVENING,34
2010,Cluster 22,MOTOR VEHICLE THEFT,MIDNIGHT,25
2010,Cluster 22,ROBBERY,MIDNIGHT,47
2010,Cluster 22,ROBBERY,EVENING,35
2010,Cluster 22,ROBBERY,DAY,13
2010,Cluster 22,SEX ABUSE,MIDNIGHT,1
2010,Cluster 22,THEFT F/AUTO,DAY,175
2010,Cluster 22,THEFT F/AUTO,EVENING,67
2010,Cluster 22,THEFT F/AUTO,MIDNIGHT,54
2010,Cluster 22,THEFT/OTHER,DAY,113
2010,Cluster 22,THEFT/OTHER,EVENING,102
2010,Cluster 22,THEFT/OTHER,MIDNIGHT,19
2010,Cluster 23,ARSON,EVENING,2
2010,Cluster 23,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,67
2010,Cluster 23,ASSAULT W/DANGEROUS WEAPON,EVENING,56
2010,Cluster 23,ASSAULT W/DANGEROUS WEAPON,DAY,29
2010,Cluster 23,BURGLARY,EVENING,82
2010,Cluster 23,BURGLARY,DAY,55
2010,Cluster 23,BURGLARY,MIDNIGHT,46
2010,Cluster 23,HOMICIDE,MIDNIGHT,9
2010,Cluster 23,MOTOR VEHICLE THEFT,DAY,81
2010,Cluster 23,MOTOR VEHICLE THEFT,EVENING,73
2010,Cluster 23,MOTOR VEHICLE THEFT,MIDNIGHT,34
2010,Cluster 23,ROBBERY,MIDNIGHT,48
2010,Cluster 23,ROBBERY,EVENING,34
2010,Cluster 23,ROBBERY,DAY,29
2010,Cluster 23,SEX ABUSE,MIDNIGHT,5
2010,Cluster 23,SEX ABUSE,DAY,2
2010,Cluster 23,SEX ABUSE,EVENING,2
2010,Cluster 23,THEFT F/AUTO,DAY,102
2010,Cluster 23,THEFT F/AUTO,EVENING,64
2010,Cluster 23,THEFT F/AUTO,MIDNIGHT,30
2010,Cluster 23,THEFT/OTHER,EVENING,112
2010,Cluster 23,THEFT/OTHER,DAY,65
2010,Cluster 23,THEFT/OTHER,MIDNIGHT,22
2010,Cluster 24,ARSON,MIDNIGHT,1
2010,Cluster 24,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,11
2010,Cluster 24,ASSAULT W/DANGEROUS WEAPON,EVENING,6
2010,Cluster 24,ASSAULT W/DANGEROUS WEAPON,DAY,3
2010,Cluster 24,BURGLARY,EVENING,13
2010,Cluster 24,BURGLARY,DAY,8
2010,Cluster 24,BURGLARY,MIDNIGHT,5
2010,Cluster 24,HOMICIDE,MIDNIGHT,1
2010,Cluster 24,MOTOR VEHICLE THEFT,DAY,37
2010,Cluster 24,MOTOR VEHICLE THEFT,EVENING,22
2010,Cluster 24,MOTOR VEHICLE THEFT,MIDNIGHT,8
2010,Cluster 24,ROBBERY,MIDNIGHT,8
2010,Cluster 24,ROBBERY,DAY,5
2010,Cluster 24,ROBBERY,EVENING,5
2010,Cluster 24,SEX ABUSE,DAY,3
2010,Cluster 24,THEFT F/AUTO,DAY,116
2010,Cluster 24,THEFT F/AUTO,EVENING,54
2010,Cluster 24,THEFT F/AUTO,MIDNIGHT,19
2010,Cluster 24,THEFT/OTHER,DAY,26
2010,Cluster 24,THEFT/OTHER,EVENING,14
2010,Cluster 24,THEFT/OTHER,MIDNIGHT,4
2010,Cluster 25,ARSON,EVENING,1
2010,Cluster 25,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,43
2010,Cluster 25,ASSAULT W/DANGEROUS WEAPON,EVENING,37
2010,Cluster 25,ASSAULT W/DANGEROUS WEAPON,DAY,19
2010,Cluster 25,BURGLARY,EVENING,109
2010,Cluster 25,BURGLARY,DAY,93
2010,Cluster 25,BURGLARY,MIDNIGHT,58
2010,Cluster 25,HOMICIDE,MIDNIGHT,1
2010,Cluster 25,MOTOR VEHICLE THEFT,DAY,81
2010,Cluster 25,MOTOR VEHICLE THEFT,EVENING,54
2010,Cluster 25,MOTOR VEHICLE THEFT,MIDNIGHT,36
2010,Cluster 25,ROBBERY,EVENING,75
2010,Cluster 25,ROBBERY,MIDNIGHT,53
2010,Cluster 25,ROBBERY,DAY,38
2010,Cluster 25,SEX ABUSE,EVENING,4
2010,Cluster 25,SEX ABUSE,DAY,2
2010,Cluster 25,SEX ABUSE,MIDNIGHT,2
2010,Cluster 25,THEFT F/AUTO,DAY,241
2010,Cluster 25,THEFT F/AUTO,EVENING,127
2010,Cluster 25,THEFT F/AUTO,MIDNIGHT,66
2010,Cluster 25,THEFT/OTHER,EVENING,208
2010,Cluster 25,THEFT/OTHER,DAY,159
2010,Cluster 25,THEFT/OTHER,MIDNIGHT,45
2010,Cluster 26,ASSAULT W/DANGEROUS WEAPON,EVENING,35
2010,Cluster 26,ASSAULT W/DANGEROUS WEAPON,DAY,22
2010,Cluster 26,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,17
2010,Cluster 26,BURGLARY,EVENING,54
2010,Cluster 26,BURGLARY,DAY,51
2010,Cluster 26,BURGLARY,MIDNIGHT,15
2010,Cluster 26,HOMICIDE,MIDNIGHT,1
2010,Cluster 26,MOTOR VEHICLE THEFT,DAY,51
2010,Cluster 26,MOTOR VEHICLE THEFT,EVENING,43
2010,Cluster 26,MOTOR VEHICLE THEFT,MIDNIGHT,12
2010,Cluster 26,ROBBERY,EVENING,60
2010,Cluster 26,ROBBERY,MIDNIGHT,38
2010,Cluster 26,ROBBERY,DAY,26
2010,Cluster 26,SEX ABUSE,EVENING,2
2010,Cluster 26,SEX ABUSE,DAY,1
2010,Cluster 26,THEFT F/AUTO,DAY,252
2010,Cluster 26,THEFT F/AUTO,EVENING,129
2010,Cluster 26,THEFT F/AUTO,MIDNIGHT,41
2010,Cluster 26,THEFT/OTHER,EVENING,285
2010,Cluster 26,THEFT/OTHER,DAY,170
2010,Cluster 26,THEFT/OTHER,MIDNIGHT,33
2010,Cluster 27,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,4
2010,Cluster 27,ASSAULT W/DANGEROUS WEAPON,EVENING,3
2010,Cluster 27,BURGLARY,DAY,4
2010,Cluster 27,BURGLARY,MIDNIGHT,3
2010,Cluster 27,BURGLARY,EVENING,2
2010,Cluster 27,MOTOR VEHICLE THEFT,EVENING,11
2010,Cluster 27,MOTOR VEHICLE THEFT,DAY,8
2010,Cluster 27,MOTOR VEHICLE THEFT,MIDNIGHT,4
2010,Cluster 27,ROBBERY,EVENING,5
2010,Cluster 27,ROBBERY,MIDNIGHT,5
2010,Cluster 27,THEFT F/AUTO,EVENING,27
2010,Cluster 27,THEFT F/AUTO,MIDNIGHT,11
2010,Cluster 27,THEFT F/AUTO,DAY,10
2010,Cluster 27,THEFT/OTHER,DAY,15
2010,Cluster 27,THEFT/OTHER,EVENING,15
2010,Cluster 27,THEFT/OTHER,MIDNIGHT,1
2010,Cluster 28,ASSAULT W/DANGEROUS WEAPON,EVENING,27
2010,Cluster 28,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,22
2010,Cluster 28,ASSAULT W/DANGEROUS WEAPON,DAY,11
2010,Cluster 28,BURGLARY,EVENING,30
2010,Cluster 28,BURGLARY,DAY,21
2010,Cluster 28,BURGLARY,MIDNIGHT,10
2010,Cluster 28,HOMICIDE,MIDNIGHT,4
2010,Cluster 28,MOTOR VEHICLE THEFT,DAY,35
2010,Cluster 28,MOTOR VEHICLE THEFT,MIDNIGHT,16
2010,Cluster 28,MOTOR VEHICLE THEFT,EVENING,13
2010,Cluster 28,ROBBERY,EVENING,24
2010,Cluster 28,ROBBERY,DAY,21
2010,Cluster 28,ROBBERY,MIDNIGHT,16
2010,Cluster 28,SEX ABUSE,DAY,2
2010,Cluster 28,SEX ABUSE,MIDNIGHT,2
2010,Cluster 28,SEX ABUSE,EVENING,1
2010,Cluster 28,THEFT F/AUTO,EVENING,30
2010,Cluster 28,THEFT F/AUTO,DAY,26
2010,Cluster 28,THEFT F/AUTO,MIDNIGHT,11
2010,Cluster 28,THEFT/OTHER,DAY,30
2010,Cluster 28,THEFT/OTHER,EVENING,23
2010,Cluster 28,THEFT/OTHER,MIDNIGHT,7
2010,Cluster 29,ASSAULT W/DANGEROUS WEAPON,EVENING,5
2010,Cluster 29,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,4
2010,Cluster 29,ASSAULT W/DANGEROUS WEAPON,DAY,3
2010,Cluster 29,BURGLARY,EVENING,14
2010,Cluster 29,BURGLARY,MIDNIGHT,12
