,Year,Neighborhood Cluster,Offense,Neighborhoods,Median Price,Number of Crimes
698,2010,Cluster 15,Burglary,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1155500,42
699,2010,Cluster 15,Motor Vehicle Theft,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1155500,17
700,2010,Cluster 15,Robbery,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1155500,23
701,2010,Cluster 15,Sex Abuse,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1155500,2
702,2010,Cluster 15,Theft f/Auto,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1155500,129
703,2010,Cluster 15,Theft/Other,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1155500,138
704,2010,Cluster 16,Assault w/Dangerous Weapon,"Colonial Village, Shepherd Park, North Portal Estates",622500,2
705,2010,Cluster 16,Burglary,"Colonial Village, Shepherd Park, North Portal Estates",622500,30
706,2010,Cluster 16,Motor Vehicle Theft,"Colonial Village, Shepherd Park, North Portal Estates",622500,20
707,2010,Cluster 16,Robbery,"Colonial Village, Shepherd Park, North Portal Estates",622500,19
708,2010,Cluster 16,Sex Abuse,"Colonial Village, Shepherd Park, North Portal Estates",622500,1
709,2010,Cluster 16,Theft f/Auto,"Colonial Village, Shepherd Park, North Portal Estates",622500,71
710,2010,Cluster 16,Theft/Other,"Colonial Village, Shepherd Park, North Portal Estates",622500,41
711,2010,Cluster 17,Assault w/Dangerous Weapon,"Takoma, Brightwood, Manor Park",340000,51
712,2010,Cluster 17,Burglary,"Takoma, Brightwood, Manor Park",340000,98
713,2010,Cluster 17,Homicide,"Takoma, Brightwood, Manor Park",340000,3
714,2010,Cluster 17,Motor Vehicle Theft,"Takoma, Brightwood, Manor Park",340000,129
715,2010,Cluster 17,Robbery,"Takoma, Brightwood, Manor Park",340000,89
716,2010,Cluster 17,Sex Abuse,"Takoma, Brightwood, Manor Park",340000,4
717,2010,Cluster 17,Theft f/Auto,"Takoma, Brightwood, Manor Park",340000,228
718,2010,Cluster 17,Theft/Other,"Takoma, Brightwood, Manor Park",340000,219
719,2010,Cluster 18,Arson,"Brightwood Park, Crestwood, Petworth",422500,5
720,2010,Cluster 18,Assault w/Dangerous Weapon,"Brightwood Park, Crestwood, Petworth",422500,179
721,2010,Cluster 18,Burglary,"Brightwood Park, Crestwood, Petworth",422500,179
722,2010,Cluster 18,Homicide,"Brightwood Park, Crestwood, Petworth",422500,5
723,2010,Cluster 18,Motor Vehicle Theft,"Brightwood Park, Crestwood, Petworth",422500,217
724,2010,Cluster 18,Robbery,"Brightwood Park, Crestwood, Petworth",422500,261
725,2010,Cluster 18,Sex Abuse,"Brightwood Park, Crestwood, Petworth",422500,11
726,2010,Cluster 18,Theft f/Auto,"Brightwood Park, Crestwood, Petworth",422500,480
727,2010,Cluster 18,Theft/Other,"Brightwood Park, Crestwood, Petworth",422500,358
728,2010,Cluster 19,Assault w/Dangerous Weapon,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",274900,33
729,2010,Cluster 19,Burglary,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",274900,66
730,2010,Cluster 19,Homicide,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",274900,2
731,2010,Cluster 19,Motor Vehicle Theft,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",274900,98
732,2010,Cluster 19,Robbery,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",274900,48
733,2010,Cluster 19,Sex Abuse,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",274900,1
734,2010,Cluster 19,Theft f/Auto,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",274900,142
735,2010,Cluster 19,Theft/Other,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",274900,51
736,2010,Cluster 20,Assault w/Dangerous Weapon,"North Michigan Park, Michigan Park, University Heights",353378,18
737,2010,Cluster 20,Burglary,"North Michigan Park, Michigan Park, University Heights",353378,46
738,2010,Cluster 20,Motor Vehicle Theft,"North Michigan Park, Michigan Park, University Heights",353378,57
739,2010,Cluster 20,Robbery,"North Michigan Park, Michigan Park, University Heights",353378,44
740,2010,Cluster 20,Sex Abuse,"North Michigan Park, Michigan Park, University Heights",353378,1
741,2010,Cluster 20,Theft f/Auto,"North Michigan Park, Michigan Park, University Heights",353378,125
742,2010,Cluster 20,Theft/Other,"North Michigan Park, Michigan Park, University Heights",353378,94
743,2010,Cluster 21,Arson,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,4
744,2010,Cluster 21,Assault w/Dangerous Weapon,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,93
745,2010,Cluster 21,Burglary,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,188
746,2010,Cluster 21,Homicide,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,4
747,2010,Cluster 21,Motor Vehicle Theft,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,128
748,2010,Cluster 21,Robbery,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,178
749,2010,Cluster 21,Sex Abuse,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,6
750,2010,Cluster 21,Theft f/Auto,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,253
751,2010,Cluster 21,Theft/Other,"Edgewood, Bloomingdale, Truxton Circle, Eckington",370000,279
752,2010,Cluster 22,Arson,"Brookland, Brentwood, Langdon",368500,3
753,2010,Cluster 22,Assault w/Dangerous Weapon,"Brookland, Brentwood, Langdon",368500,57
754,2010,Cluster 22,Burglary,"Brookland, Brentwood, Langdon",368500,108
755,2010,Cluster 22,Homicide,"Brookland, Brentwood, Langdon",368500,4
756,2010,Cluster 22,Motor Vehicle Theft,"Brookland, Brentwood, Langdon",368500,121
757,2010,Cluster 22,Robbery,"Brookland, Brentwood, Langdon",368500,95
758,2010,Cluster 22,Sex Abuse,"Brookland, Brentwood, Langdon",368500,1
759,2010,Cluster 22,Theft f/Auto,"Brookland, Brentwood, Langdon",368500,296
760,2010,Cluster 22,Theft/Other,"Brookland, Brentwood, Langdon",368500,234
761,2010,Cluster 23,Arson,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,2
762,2010,Cluster 23,Assault w/Dangerous Weapon,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,152
763,2010,Cluster 23,Burglary,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,183
764,2010,Cluster 23,Homicide,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,9
765,2010,Cluster 23,Motor Vehicle Theft,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,188
766,2010,Cluster 23,Robbery,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,111
767,2010,Cluster 23,Sex Abuse,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,9
768,2010,Cluster 23,Theft f/Auto,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,196
769,2010,Cluster 23,Theft/Other,"Ivy City, Arboretum, Trinidad, Carver Langston",228875,199
770,2010,Cluster 24,Arson,"Woodridge, Fort Lincoln, Gateway",393241,1
771,2010,Cluster 24,Assault w/Dangerous Weapon,"Woodridge, Fort Lincoln, Gateway",393241,20
772,2010,Cluster 24,Burglary,"Woodridge, Fort Lincoln, Gateway",393241,26
773,2010,Cluster 24,Homicide,"Woodridge, Fort Lincoln, Gateway",393241,1
774,2010,Cluster 24,Motor Vehicle Theft,"Woodridge, Fort Lincoln, Gateway",393241,67
775,2010,Cluster 24,Robbery,"Woodridge, Fort Lincoln, Gateway",393241,18
776,2010,Cluster 24,Sex Abuse,"Woodridge, Fort Lincoln, Gateway",393241,3
777,2010,Cluster 24,Theft f/Auto,"Woodridge, Fort Lincoln, Gateway",393241,189
778,2010,Cluster 24,Theft/Other,"Woodridge, Fort Lincoln, Gateway",393241,44
779,2010,Cluster 25,Arson,"Union Station, Stanton Park, Kingman Park",482500,1
780,2010,Cluster 25,Assault w/Dangerous Weapon,"Union Station, Stanton Park, Kingman Park",482500,99
781,2010,Cluster 25,Burglary,"Union Station, Stanton Park, Kingman Park",482500,260
782,2010,Cluster 25,Homicide,"Union Station, Stanton Park, Kingman Park",482500,1
783,2010,Cluster 25,Motor Vehicle Theft,"Union Station, Stanton Park, Kingman Park",482500,171
784,2010,Cluster 25,Robbery,"Union Station, Stanton Park, Kingman Park",482500,166
785,2010,Cluster 25,Sex Abuse,"Union Station, Stanton Park, Kingman Park",482500,8
786,2010,Cluster 25,Theft f/Auto,"Union Station, Stanton Park, Kingman Park",482500,434
787,2010,Cluster 25,Theft/Other,"Union Station, Stanton Park, Kingman Park",482500,412
788,2010,Cluster 26,Assault w/Dangerous Weapon,"Capitol Hill, Lincoln Park",600000,74
789,2010,Cluster 26,Burglary,"Capitol Hill, Lincoln Park",600000,120
790,2010,Cluster 26,Homicide,"Capitol Hill, Lincoln Park",600000,1
791,2010,Cluster 26,Motor Vehicle Theft,"Capitol Hill, Lincoln Park",600000,106
792,2010,Cluster 26,Robbery,"Capitol Hill, Lincoln Park",600000,124
793,2010,Cluster 26,Sex Abuse,"Capitol Hill, Lincoln Park",600000,3
794,2010,Cluster 26,Theft f/Auto,"Capitol Hill, Lincoln Park",600000,422
795,2010,Cluster 26,Theft/Other,"Capitol Hill, Lincoln Park",600000,488
796,2010,Cluster 27,Assault w/Dangerous Weapon,"Near Southeast, Navy Yard",736883,7
797,2010,Cluster 27,Burglary,"Near Southeast, Navy Yard",736883,9
798,2010,Cluster 27,Motor Vehicle Theft,"Near Southeast, Navy Yard",736883,23
799,2010,Cluster 27,Robbery,"Near Southeast, Navy Yard",736883,10
800,2010,Cluster 27,Theft f/Auto,"Near Southeast, Navy Yard",736883,48
801,2010,Cluster 27,Theft/Other,"Near Southeast, Navy Yard",736883,31
802,2010,Cluster 28,Assault w/Dangerous Weapon,Historic Anacostia,206289,60
803,2010,Cluster 28,Burglary,Historic Anacostia,206289,61
804,2010,Cluster 28,Homicide,Historic Anacostia,206289,4
805,2010,Cluster 28,Motor Vehicle Theft,Historic Anacostia,206289,64
806,2010,Cluster 28,Robbery,Historic Anacostia,206289,61
807,2010,Cluster 28,Sex Abuse,Historic Anacostia,206289,5
808,2010,Cluster 28,Theft f/Auto,Historic Anacostia,206289,67
809,2010,Cluster 28,Theft/Other,Historic Anacostia,206289,60
810,2010,Cluster 29,Assault w/Dangerous Weapon,"Eastland Gardens, Kenilworth",274500,12
811,2010,Cluster 29,Burglary,"Eastland Gardens, Kenilworth",274500,34
812,2010,Cluster 29,Homicide,"Eastland Gardens, Kenilworth",274500,1
813,2010,Cluster 29,Motor Vehicle Theft,"Eastland Gardens, Kenilworth",274500,20
814,2010,Cluster 29,Robbery,"Eastland Gardens, Kenilworth",274500,11
815,2010,Cluster 29,Theft f/Auto,"Eastland Gardens, Kenilworth",274500,21
816,2010,Cluster 29,Theft/Other,"Eastland Gardens, Kenilworth",274500,21
817,2010,Cluster 30,Assault w/Dangerous Weapon,"Mayfair, Hillbrook, Mahaning Heights",199900,44
818,2010,Cluster 30,Burglary,"Mayfair, Hillbrook, Mahaning Heights",199900,76
819,2010,Cluster 30,Homicide,"Mayfair, Hillbrook, Mahaning Heights",199900,1
820,2010,Cluster 30,Motor Vehicle Theft,"Mayfair, Hillbrook, Mahaning Heights",199900,92
821,2010,Cluster 30,Robbery,"Mayfair, Hillbrook, Mahaning Heights",199900,68
822,2010,Cluster 30,Sex Abuse,"Mayfair, Hillbrook, Mahaning Heights",199900,3
823,2010,Cluster 30,Theft f/Auto,"Mayfair, Hillbrook, Mahaning Heights",199900,89
824,2010,Cluster 30,Theft/Other,"Mayfair, Hillbrook, Mahaning Heights",199900,70
825,2010,Cluster 31,Arson,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,6
826,2010,Cluster 31,Assault w/Dangerous Weapon,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,107
827,2010,Cluster 31,Burglary,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,188
828,2010,Cluster 31,Homicide,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,10
829,2010,Cluster 31,Motor Vehicle Theft,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,190
830,2010,Cluster 31,Robbery,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,132
831,2010,Cluster 31,Sex Abuse,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,5
832,2010,Cluster 31,Theft f/Auto,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,165
833,2010,Cluster 31,Theft/Other,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",207650,176
834,2010,Cluster 32,Arson,"River Terrace, Benning, Greenway, Dupont Park",193000,3
835,2010,Cluster 32,Assault w/Dangerous Weapon,"River Terrace, Benning, Greenway, Dupont Park",193000,82
836,2010,Cluster 32,Burglary,"River Terrace, Benning, Greenway, Dupont Park",193000,109
837,2010,Cluster 32,Homicide,"River Terrace, Benning, Greenway, Dupont Park",193000,3
838,2010,Cluster 32,Motor Vehicle Theft,"River Terrace, Benning, Greenway, Dupont Park",193000,171
839,2010,Cluster 32,Robbery,"River Terrace, Benning, Greenway, Dupont Park",193000,106
840,2010,Cluster 32,Sex Abuse,"River Terrace, Benning, Greenway, Dupont Park",193000,5
841,2010,Cluster 32,Theft f/Auto,"River Terrace, Benning, Greenway, Dupont Park",193000,124
842,2010,Cluster 32,Theft/Other,"River Terrace, Benning, Greenway, Dupont Park",193000,170
843,2010,Cluster 33,Arson,"Capitol View, Marshall Heights, Benning Heights",278950,2
844,2010,Cluster 33,Assault w/Dangerous Weapon,"Capitol View, Marshall Heights, Benning Heights",278950,106
845,2010,Cluster 33,Burglary,"Capitol View, Marshall Heights, Benning Heights",278950,103
846,2010,Cluster 33,Homicide,"Capitol View, Marshall Heights, Benning Heights",278950,7
847,2010,Cluster 33,Motor Vehicle Theft,"Capitol View, Marshall Heights, Benning Heights",278950,197
848,2010,Cluster 33,Robbery,"Capitol View, Marshall Heights, Benning Heights",278950,147
849,2010,Cluster 33,Sex Abuse,"Capitol View, Marshall Heights, Benning Heights",278950,5
850,2010,Cluster 33,Theft f/Auto,"Capitol View, Marshall Heights, Benning Heights",278950,153
851,2010,Cluster 33,Theft/Other,"Capitol View, Marshall Heights, Benning Heights",278950,156
852,2010,Cluster 34,Arson,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,1
853,2010,Cluster 34,Assault w/Dangerous Weapon,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,61
854,2010,Cluster 34,Burglary,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,78
855,2010,Cluster 34,Homicide,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,3
856,2010,Cluster 34,Motor Vehicle Theft,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,151
857,2010,Cluster 34,Robbery,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,72
858,2010,Cluster 34,Sex Abuse,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,1
859,2010,Cluster 34,Theft f/Auto,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,174
860,2010,Cluster 34,Theft/Other,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",245000,130
861,2010,Cluster 35,Assault w/Dangerous Weapon,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",357500,17
862,2010,Cluster 35,Burglary,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",357500,27
863,2010,Cluster 35,Homicide,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",357500,1
864,2010,Cluster 35,Motor Vehicle Theft,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",357500,79
865,2010,Cluster 35,Robbery,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",357500,47
866,2010,Cluster 35,Theft f/Auto,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",357500,59
867,2010,Cluster 35,Theft/Other,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",357500,48
868,2010,Cluster 36,Arson,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,3
869,2010,Cluster 36,Assault w/Dangerous Weapon,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,63
870,2010,Cluster 36,Burglary,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,85
871,2010,Cluster 36,Homicide,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,6
872,2010,Cluster 36,Motor Vehicle Theft,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,48
873,2010,Cluster 36,Robbery,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,62
874,2010,Cluster 36,Sex Abuse,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,2
875,2010,Cluster 36,Theft f/Auto,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,58
876,2010,Cluster 36,Theft/Other,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",255000,50
877,2010,Cluster 37,Arson,"Sheridan, Barry Farm, Buena Vista",200000,1
878,2010,Cluster 37,Assault w/Dangerous Weapon,"Sheridan, Barry Farm, Buena Vista",200000,90
879,2010,Cluster 37,Burglary,"Sheridan, Barry Farm, Buena Vista",200000,107
880,2010,Cluster 37,Homicide,"Sheridan, Barry Farm, Buena Vista",200000,5
881,2010,Cluster 37,Motor Vehicle Theft,"Sheridan, Barry Farm, Buena Vista",200000,119
882,2010,Cluster 37,Robbery,"Sheridan, Barry Farm, Buena Vista",200000,63
883,2010,Cluster 37,Sex Abuse,"Sheridan, Barry Farm, Buena Vista",200000,1
884,2010,Cluster 37,Theft f/Auto,"Sheridan, Barry Farm, Buena Vista",200000,73
885,2010,Cluster 37,Theft/Other,"Sheridan, Barry Farm, Buena Vista",200000,53
886,2010,Cluster 38,Arson,"Douglas, Shipley Terrace",297907,5
887,2010,Cluster 38,Assault w/Dangerous Weapon,"Douglas, Shipley Terrace",297907,107
888,2010,Cluster 38,Burglary,"Douglas, Shipley Terrace",297907,177
889,2010,Cluster 38,Homicide,"Douglas, Shipley Terrace",297907,8
890,2010,Cluster 38,Motor Vehicle Theft,"Douglas, Shipley Terrace",297907,140
891,2010,Cluster 38,Robbery,"Douglas, Shipley Terrace",297907,142
892,2010,Cluster 38,Sex Abuse,"Douglas, Shipley Terrace",297907,3
893,2010,Cluster 38,Theft f/Auto,"Douglas, Shipley Terrace",297907,118
894,2010,Cluster 38,Theft/Other,"Douglas, Shipley Terrace",297907,125
895,2010,Cluster 39,Arson,"Congress Heights, Bellevue, Washington Highlands",206450,6
896,2010,Cluster 39,Assault w/Dangerous Weapon,"Congress Heights, Bellevue, Washington Highlands",206450,245
897,2010,Cluster 39,Burglary,"Congress Heights, Bellevue, Washington Highlands",206450,519
898,2010,Cluster 39,Homicide,"Congress Heights, Bellevue, Washington Highlands",206450,21
899,2010,Cluster 39,Motor Vehicle Theft,"Congress Heights, Bellevue, Washington Highlands",206450,311
900,2010,Cluster 39,Robbery,"Congress Heights, Bellevue, Washington Highlands",206450,238
901,2010,Cluster 39,Sex Abuse,"Congress Heights, Bellevue, Washington Highlands",206450,7
902,2010,Cluster 39,Theft f/Auto,"Congress Heights, Bellevue, Washington Highlands",206450,287
903,2010,Cluster 39,Theft/Other,"Congress Heights, Bellevue, Washington Highlands",206450,272
904,2011,Cluster 01,Assault w/Dangerous Weapon,"Kalorama Heights, Adams Morgan, Lanier Heights",1455000,41
905,2011,Cluster 01,Burglary,"Kalorama Heights, Adams Morgan, Lanier Heights",1455000,65
906,2011,Cluster 01,Homicide,"Kalorama Heights, Adams Morgan, Lanier Heights",1455000,2
907,2011,Cluster 01,Motor Vehicle Theft,"Kalorama Heights, Adams Morgan, Lanier Heights",1455000,65
908,2011,Cluster 01,Robbery,"Kalorama Heights, Adams Morgan, Lanier Heights",1455000,122
909,2011,Cluster 01,Sex Abuse,"Kalorama Heights, Adams Morgan, Lanier Heights",1455000,5
910,2011,Cluster 01,Theft f/Auto,"Kalorama Heights, Adams Morgan, Lanier Heights",1455000,408
911,2011,Cluster 01,Theft/Other,"Kalorama Heights, Adams Morgan, Lanier Heights",1455000,312
912,2011,Cluster 02,Arson,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,4
913,2011,Cluster 02,Assault w/Dangerous Weapon,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,124
914,2011,Cluster 02,Burglary,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,311
915,2011,Cluster 02,Homicide,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,7
916,2011,Cluster 02,Motor Vehicle Theft,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,128
917,2011,Cluster 02,Robbery,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,416
918,2011,Cluster 02,Sex Abuse,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,18
919,2011,Cluster 02,Theft f/Auto,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,902
920,2011,Cluster 02,Theft/Other,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",490000,816
921,2011,Cluster 03,Assault w/Dangerous Weapon,"Howard University, Le Droit Park, Cardozo/Shaw",615000,64
922,2011,Cluster 03,Burglary,"Howard University, Le Droit Park, Cardozo/Shaw",615000,88
923,2011,Cluster 03,Homicide,"Howard University, Le Droit Park, Cardozo/Shaw",615000,1
924,2011,Cluster 03,Motor Vehicle Theft,"Howard University, Le Droit Park, Cardozo/Shaw",615000,65
925,2011,Cluster 03,Robbery,"Howard University, Le Droit Park, Cardozo/Shaw",615000,213
926,2011,Cluster 03,Sex Abuse,"Howard University, Le Droit Park, Cardozo/Shaw",615000,5
927,2011,Cluster 03,Theft f/Auto,"Howard University, Le Droit Park, Cardozo/Shaw",615000,468
928,2011,Cluster 03,Theft/Other,"Howard University, Le Droit Park, Cardozo/Shaw",615000,374
929,2011,Cluster 04,Assault w/Dangerous Weapon,"Georgetown, Burleith/Hillandale",1100000,11
930,2011,Cluster 04,Burglary,"Georgetown, Burleith/Hillandale",1100000,102
931,2011,Cluster 04,Homicide,"Georgetown, Burleith/Hillandale",1100000,2
932,2011,Cluster 04,Motor Vehicle Theft,"Georgetown, Burleith/Hillandale",1100000,36
933,2011,Cluster 04,Robbery,"Georgetown, Burleith/Hillandale",1100000,43
934,2011,Cluster 04,Sex Abuse,"Georgetown, Burleith/Hillandale",1100000,3
935,2011,Cluster 04,Theft f/Auto,"Georgetown, Burleith/Hillandale",1100000,181
936,2011,Cluster 04,Theft/Other,"Georgetown, Burleith/Hillandale",1100000,563
937,2011,Cluster 05,Assault w/Dangerous Weapon,"West End, Foggy Bottom, GWU",702500,17
938,2011,Cluster 05,Burglary,"West End, Foggy Bottom, GWU",702500,48
939,2011,Cluster 05,Motor Vehicle Theft,"West End, Foggy Bottom, GWU",702500,24
940,2011,Cluster 05,Robbery,"West End, Foggy Bottom, GWU",702500,28
941,2011,Cluster 05,Sex Abuse,"West End, Foggy Bottom, GWU",702500,1
942,2011,Cluster 05,Theft f/Auto,"West End, Foggy Bottom, GWU",702500,124
943,2011,Cluster 05,Theft/Other,"West End, Foggy Bottom, GWU",702500,317
944,2011,Cluster 06,Arson,"Dupont Circle, Connecticut Avenue/K Street",950000,1
945,2011,Cluster 06,Assault w/Dangerous Weapon,"Dupont Circle, Connecticut Avenue/K Street",950000,49
946,2011,Cluster 06,Burglary,"Dupont Circle, Connecticut Avenue/K Street",950000,143
947,2011,Cluster 06,Homicide,"Dupont Circle, Connecticut Avenue/K Street",950000,2
948,2011,Cluster 06,Motor Vehicle Theft,"Dupont Circle, Connecticut Avenue/K Street",950000,57
949,2011,Cluster 06,Robbery,"Dupont Circle, Connecticut Avenue/K Street",950000,168
950,2011,Cluster 06,Sex Abuse,"Dupont Circle, Connecticut Avenue/K Street",950000,6
951,2011,Cluster 06,Theft f/Auto,"Dupont Circle, Connecticut Avenue/K Street",950000,835
952,2011,Cluster 06,Theft/Other,"Dupont Circle, Connecticut Avenue/K Street",950000,914
953,2011,Cluster 07,Assault w/Dangerous Weapon,"Shaw, Logan Circle",570000,54
954,2011,Cluster 07,Burglary,"Shaw, Logan Circle",570000,68
955,2011,Cluster 07,Homicide,"Shaw, Logan Circle",570000,2
956,2011,Cluster 07,Motor Vehicle Theft,"Shaw, Logan Circle",570000,60
957,2011,Cluster 07,Robbery,"Shaw, Logan Circle",570000,136
958,2011,Cluster 07,Sex Abuse,"Shaw, Logan Circle",570000,3
959,2011,Cluster 07,Theft f/Auto,"Shaw, Logan Circle",570000,421
960,2011,Cluster 07,Theft/Other,"Shaw, Logan Circle",570000,289
961,2011,Cluster 08,Arson,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",620000,1
962,2011,Cluster 08,Assault w/Dangerous Weapon,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",620000,97
963,2011,Cluster 08,Burglary,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",620000,58
964,2011,Cluster 08,Motor Vehicle Theft,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",620000,91
965,2011,Cluster 08,Robbery,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",620000,198
966,2011,Cluster 08,Sex Abuse,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",620000,13
967,2011,Cluster 08,Theft f/Auto,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",620000,561
968,2011,Cluster 08,Theft/Other,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",620000,1020
969,2011,Cluster 09,Arson,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",302500,1
970,2011,Cluster 09,Assault w/Dangerous Weapon,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",302500,49
971,2011,Cluster 09,Burglary,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",302500,47
972,2011,Cluster 09,Motor Vehicle Theft,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",302500,51
973,2011,Cluster 09,Robbery,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",302500,61
974,2011,Cluster 09,Theft f/Auto,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",302500,98
975,2011,Cluster 09,Theft/Other,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",302500,216
976,2011,Cluster 10,Assault w/Dangerous Weapon,"Hawthorne, Barnaby Woods, Chevy Chase",820000,5
977,2011,Cluster 10,Burglary,"Hawthorne, Barnaby Woods, Chevy Chase",820000,27
978,2011,Cluster 10,Motor Vehicle Theft,"Hawthorne, Barnaby Woods, Chevy Chase",820000,12
979,2011,Cluster 10,Robbery,"Hawthorne, Barnaby Woods, Chevy Chase",820000,13
