,Year,Neighborhood Cluster,Offense,Neighborhoods,Median Price,Number of Crimes
63,2008,Cluster 09,Homicide,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",650000,2
64,2008,Cluster 09,Motor Vehicle Theft,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",650000,75
65,2008,Cluster 09,Robbery,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",650000,74
66,2008,Cluster 09,Sex Abuse,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",650000,6
67,2008,Cluster 09,Theft/Other,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",650000,328
68,2008,Cluster 10,Assault w/Dangerous Weapon,"Hawthorne, Barnaby Woods, Chevy Chase",862000,1
69,2008,Cluster 10,Burglary,"Hawthorne, Barnaby Woods, Chevy Chase",862000,40
70,2008,Cluster 10,Homicide,"Hawthorne, Barnaby Woods, Chevy Chase",862000,1
71,2008,Cluster 10,Motor Vehicle Theft,"Hawthorne, Barnaby Woods, Chevy Chase",862000,27
72,2008,Cluster 10,Robbery,"Hawthorne, Barnaby Woods, Chevy Chase",862000,9
73,2008,Cluster 10,Sex Abuse,"Hawthorne, Barnaby Woods, Chevy Chase",862000,1
74,2008,Cluster 10,Theft/Other,"Hawthorne, Barnaby Woods, Chevy Chase",862000,143
75,2008,Cluster 11,Assault w/Dangerous Weapon,"Friendship Heights, American University Park, Tenleytown",825000,11
76,2008,Cluster 11,Burglary,"Friendship Heights, American University Park, Tenleytown",825000,62
77,2008,Cluster 11,Homicide,"Friendship Heights, American University Park, Tenleytown",825000,2
78,2008,Cluster 11,Motor Vehicle Theft,"Friendship Heights, American University Park, Tenleytown",825000,20
79,2008,Cluster 11,Robbery,"Friendship Heights, American University Park, Tenleytown",825000,29
80,2008,Cluster 11,Theft/Other,"Friendship Heights, American University Park, Tenleytown",825000,469
81,2008,Cluster 12,Assault w/Dangerous Weapon,"North Cleveland Park, Forest Hills, Van Ness",1255000,3
82,2008,Cluster 12,Burglary,"North Cleveland Park, Forest Hills, Van Ness",1255000,31
83,2008,Cluster 12,Motor Vehicle Theft,"North Cleveland Park, Forest Hills, Van Ness",1255000,16
84,2008,Cluster 12,Robbery,"North Cleveland Park, Forest Hills, Van Ness",1255000,4
85,2008,Cluster 12,Sex Abuse,"North Cleveland Park, Forest Hills, Van Ness",1255000,1
86,2008,Cluster 12,Theft/Other,"North Cleveland Park, Forest Hills, Van Ness",1255000,168
87,2008,Cluster 13,Assault w/Dangerous Weapon,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1160000,1
88,2008,Cluster 13,Burglary,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1160000,26
89,2008,Cluster 13,Motor Vehicle Theft,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1160000,26
90,2008,Cluster 13,Robbery,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1160000,4
91,2008,Cluster 13,Sex Abuse,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1160000,1
92,2008,Cluster 13,Theft/Other,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1160000,185
93,2008,Cluster 14,Assault w/Dangerous Weapon,"Cathedral Heights, McLean Gardens, Glover Park",793750,7
94,2008,Cluster 14,Burglary,"Cathedral Heights, McLean Gardens, Glover Park",793750,38
95,2008,Cluster 14,Motor Vehicle Theft,"Cathedral Heights, McLean Gardens, Glover Park",793750,19
96,2008,Cluster 14,Robbery,"Cathedral Heights, McLean Gardens, Glover Park",793750,10
97,2008,Cluster 14,Sex Abuse,"Cathedral Heights, McLean Gardens, Glover Park",793750,2
98,2008,Cluster 14,Theft/Other,"Cathedral Heights, McLean Gardens, Glover Park",793750,219
99,2008,Cluster 15,Assault w/Dangerous Weapon,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",940000,12
100,2008,Cluster 15,Burglary,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",940000,55
101,2008,Cluster 15,Motor Vehicle Theft,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",940000,30
102,2008,Cluster 15,Robbery,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",940000,19
103,2008,Cluster 15,Sex Abuse,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",940000,2
104,2008,Cluster 15,Theft/Other,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",940000,285
105,2008,Cluster 16,Arson,"Colonial Village, Shepherd Park, North Portal Estates",682500,1
106,2008,Cluster 16,Assault w/Dangerous Weapon,"Colonial Village, Shepherd Park, North Portal Estates",682500,4
107,2008,Cluster 16,Burglary,"Colonial Village, Shepherd Park, North Portal Estates",682500,31
108,2008,Cluster 16,Motor Vehicle Theft,"Colonial Village, Shepherd Park, North Portal Estates",682500,27
109,2008,Cluster 16,Robbery,"Colonial Village, Shepherd Park, North Portal Estates",682500,27
110,2008,Cluster 16,Theft/Other,"Colonial Village, Shepherd Park, North Portal Estates",682500,99
111,2008,Cluster 17,Assault w/Dangerous Weapon,"Takoma, Brightwood, Manor Park",387500,56
112,2008,Cluster 17,Burglary,"Takoma, Brightwood, Manor Park",387500,86
113,2008,Cluster 17,Homicide,"Takoma, Brightwood, Manor Park",387500,3
114,2008,Cluster 17,Motor Vehicle Theft,"Takoma, Brightwood, Manor Park",387500,127
115,2008,Cluster 17,Robbery,"Takoma, Brightwood, Manor Park",387500,131
116,2008,Cluster 17,Sex Abuse,"Takoma, Brightwood, Manor Park",387500,2
117,2008,Cluster 17,Theft/Other,"Takoma, Brightwood, Manor Park",387500,463
118,2008,Cluster 18,Arson,"Brightwood Park, Crestwood, Petworth",415000,2
119,2008,Cluster 18,Assault w/Dangerous Weapon,"Brightwood Park, Crestwood, Petworth",415000,217
120,2008,Cluster 18,Burglary,"Brightwood Park, Crestwood, Petworth",415000,236
121,2008,Cluster 18,Homicide,"Brightwood Park, Crestwood, Petworth",415000,9
122,2008,Cluster 18,Motor Vehicle Theft,"Brightwood Park, Crestwood, Petworth",415000,238
123,2008,Cluster 18,Robbery,"Brightwood Park, Crestwood, Petworth",415000,251
124,2008,Cluster 18,Sex Abuse,"Brightwood Park, Crestwood, Petworth",415000,11
125,2008,Cluster 18,Theft/Other,"Brightwood Park, Crestwood, Petworth",415000,658
126,2008,Cluster 19,Arson,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",300000,2
127,2008,Cluster 19,Assault w/Dangerous Weapon,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",300000,53
128,2008,Cluster 19,Burglary,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",300000,39
129,2008,Cluster 19,Homicide,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",300000,3
130,2008,Cluster 19,Motor Vehicle Theft,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",300000,133
131,2008,Cluster 19,Robbery,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",300000,54
132,2008,Cluster 19,Sex Abuse,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",300000,1
133,2008,Cluster 19,Theft/Other,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",300000,138
134,2008,Cluster 20,Assault w/Dangerous Weapon,"North Michigan Park, Michigan Park, University Heights",360000,22
135,2008,Cluster 20,Burglary,"North Michigan Park, Michigan Park, University Heights",360000,46
136,2008,Cluster 20,Homicide,"North Michigan Park, Michigan Park, University Heights",360000,3
137,2008,Cluster 20,Motor Vehicle Theft,"North Michigan Park, Michigan Park, University Heights",360000,85
138,2008,Cluster 20,Robbery,"North Michigan Park, Michigan Park, University Heights",360000,50
139,2008,Cluster 20,Sex Abuse,"North Michigan Park, Michigan Park, University Heights",360000,1
140,2008,Cluster 20,Theft/Other,"North Michigan Park, Michigan Park, University Heights",360000,173
141,2008,Cluster 21,Arson,"Edgewood, Bloomingdale, Truxton Circle, Eckington",387500,3
142,2008,Cluster 21,Assault w/Dangerous Weapon,"Edgewood, Bloomingdale, Truxton Circle, Eckington",387500,106
143,2008,Cluster 21,Burglary,"Edgewood, Bloomingdale, Truxton Circle, Eckington",387500,148
144,2008,Cluster 21,Homicide,"Edgewood, Bloomingdale, Truxton Circle, Eckington",387500,12
145,2008,Cluster 21,Motor Vehicle Theft,"Edgewood, Bloomingdale, Truxton Circle, Eckington",387500,222
146,2008,Cluster 21,Robbery,"Edgewood, Bloomingdale, Truxton Circle, Eckington",387500,170
147,2008,Cluster 21,Sex Abuse,"Edgewood, Bloomingdale, Truxton Circle, Eckington",387500,4
148,2008,Cluster 21,Theft/Other,"Edgewood, Bloomingdale, Truxton Circle, Eckington",387500,506
149,2008,Cluster 22,Arson,"Brookland, Brentwood, Langdon",363895,3
150,2008,Cluster 22,Assault w/Dangerous Weapon,"Brookland, Brentwood, Langdon",363895,77
151,2008,Cluster 22,Burglary,"Brookland, Brentwood, Langdon",363895,108
152,2008,Cluster 22,Homicide,"Brookland, Brentwood, Langdon",363895,8
153,2008,Cluster 22,Motor Vehicle Theft,"Brookland, Brentwood, Langdon",363895,168
154,2008,Cluster 22,Robbery,"Brookland, Brentwood, Langdon",363895,129
155,2008,Cluster 22,Sex Abuse,"Brookland, Brentwood, Langdon",363895,3
156,2008,Cluster 22,Theft/Other,"Brookland, Brentwood, Langdon",363895,397
157,2008,Cluster 23,Arson,"Ivy City, Arboretum, Trinidad, Carver Langston",309500,2
158,2008,Cluster 23,Assault w/Dangerous Weapon,"Ivy City, Arboretum, Trinidad, Carver Langston",309500,182
159,2008,Cluster 23,Burglary,"Ivy City, Arboretum, Trinidad, Carver Langston",309500,151
160,2008,Cluster 23,Homicide,"Ivy City, Arboretum, Trinidad, Carver Langston",309500,12
161,2008,Cluster 23,Motor Vehicle Theft,"Ivy City, Arboretum, Trinidad, Carver Langston",309500,208
162,2008,Cluster 23,Robbery,"Ivy City, Arboretum, Trinidad, Carver Langston",309500,143
163,2008,Cluster 23,Sex Abuse,"Ivy City, Arboretum, Trinidad, Carver Langston",309500,9
164,2008,Cluster 23,Theft/Other,"Ivy City, Arboretum, Trinidad, Carver Langston",309500,494
165,2008,Cluster 24,Arson,"Woodridge, Fort Lincoln, Gateway",457450,2
166,2008,Cluster 24,Assault w/Dangerous Weapon,"Woodridge, Fort Lincoln, Gateway",457450,16
167,2008,Cluster 24,Burglary,"Woodridge, Fort Lincoln, Gateway",457450,26
