,Year,Neighborhoods,Cluster,Median_Price
965,2014,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,231000
966,2015,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,265000
967,2016,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,306092
980,2007,"Sheridan, Barry Farm, Buena Vista",Cluster 37,275000
981,2008,"Sheridan, Barry Farm, Buena Vista",Cluster 37,293500
982,2009,"Sheridan, Barry Farm, Buena Vista",Cluster 37,219500
983,2010,"Sheridan, Barry Farm, Buena Vista",Cluster 37,200000
984,2011,"Sheridan, Barry Farm, Buena Vista",Cluster 37,283400
985,2012,"Sheridan, Barry Farm, Buena Vista",Cluster 37,298900
986,2013,"Sheridan, Barry Farm, Buena Vista",Cluster 37,223000
987,2014,"Sheridan, Barry Farm, Buena Vista",Cluster 37,275000
988,2015,"Sheridan, Barry Farm, Buena Vista",Cluster 37,255000
989,2016,"Sheridan, Barry Farm, Buena Vista",Cluster 37,350000
1002,2007,"Douglas, Shipley Terrace",Cluster 38,302140
1003,2008,"Douglas, Shipley Terrace",Cluster 38,321050
1004,2009,"Douglas, Shipley Terrace",Cluster 38,280000
1005,2010,"Douglas, Shipley Terrace",Cluster 38,297907
1006,2011,"Douglas, Shipley Terrace",Cluster 38,268775
1007,2012,"Douglas, Shipley Terrace",Cluster 38,248450
1008,2013,"Douglas, Shipley Terrace",Cluster 38,256000
1009,2014,"Douglas, Shipley Terrace",Cluster 38,263000
1010,2015,"Douglas, Shipley Terrace",Cluster 38,259750
1011,2016,"Douglas, Shipley Terrace",Cluster 38,341000
1024,2007,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,285000
1025,2008,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,258000
1026,2009,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,215000
1027,2010,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,206450
1028,2011,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,199517
1029,2012,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,187000
1030,2013,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,190000
1031,2014,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,250000
1032,2015,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,279999
1033,2016,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,290000
1068,2007,Rock Creek Park,Cluster 41,909250
1069,2008,Rock Creek Park,Cluster 41,757500
1070,2009,Rock Creek Park,Cluster 41,735000
1071,2010,Rock Creek Park,Cluster 41,915000
1072,2011,Rock Creek Park,Cluster 41,805000
1073,2012,Rock Creek Park,Cluster 41,735000
1074,2013,Rock Creek Park,Cluster 41,860000
1075,2014,Rock Creek Park,Cluster 41,794500
1076,2015,Rock Creek Park,Cluster 41,1108000
1077,2016,Rock Creek Park,Cluster 41,1595000
1092,2009,Saint Elizabeths,Cluster 43,316000
1093,2010,Saint Elizabeths,Cluster 43,299900
1094,2011,Saint Elizabeths,Cluster 43,299900
1095,2012,Saint Elizabeths,Cluster 43,299000
1096,2013,Saint Elizabeths,Cluster 43,213721
1097,2014,Saint Elizabeths,Cluster 43,207500
1099,2016,Saint Elizabeths,Cluster 43,279900
1112,2007,Joint Base Anacostia-Bolling,Cluster 44,250000
1113,2008,Joint Base Anacostia-Bolling,Cluster 44,327450
1119,2014,Joint Base Anacostia-Bolling,Cluster 44,310000
1120,2015,Joint Base Anacostia-Bolling,Cluster 44,300000
1139,2012,"Arboretum, Anacostia River",Cluster 46,290000
1140,2013,"Arboretum, Anacostia River",Cluster 46,192000
1141,2014,"Arboretum, Anacostia River",Cluster 46,499000
